pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z
26.782251000000002,4.418803,15.618699,27.319471999999998,4.470026,15.565873999999999,27.357325,4.358633,14.888997,27.234553000000002,1.6477009999999999,13.150214000000002,27.73317,1.171568,12.438498,26.334289000000002,0.368177,12.220829,25.053165,-0.205923,12.775687,,,
26.768216,4.444909,15.601819,27.305251000000002,4.489054,15.557839999999999,27.335965,4.37999,14.897785999999998,27.221093,1.645393,13.161539000000001,27.768123,1.127025,12.500176,26.333346999999996,0.387141,12.238964,25.05188,-0.204619,12.776375999999999,,,
26.746671999999997,4.458394,15.605807999999998,27.286955,4.493702,15.562985999999999,27.313323999999998,4.380023,14.916016,27.221302,1.669631,13.132054,27.753909999999998,1.118442,12.548786999999999,26.329607,0.37751,12.240076,25.051237,-0.20223,12.775367999999999,,,
26.742140999999997,4.466855000000001,15.624364000000002,27.273058000000002,4.514814,15.541687,27.283593,4.382032,14.933416000000001,27.198233000000002,1.671101,13.156232999999999,27.723488,1.153918,12.468177,26.329136,0.38697800000000004,12.249165,25.049791,-0.201344,12.776618,,,
26.735631,4.50557,15.586611999999999,27.238833000000003,4.530246,15.549083,27.259612,4.406457,14.913623999999999,27.173540999999997,1.7186299999999999,13.11235,27.726003000000002,1.191239,12.479425,26.329136,0.38697800000000004,12.249165,25.048643,-0.19913599999999998,12.777209,,,
26.696184000000002,4.535791000000001,15.576225,27.190338,4.528671,15.568437,27.230321999999997,4.437043,14.883788000000001,27.167144,1.74417,13.102555,27.712756,1.19474,12.460149000000001,26.327431,0.375339,12.250459,25.045962,-0.197915,12.778219,,,
26.661278000000003,4.557543,15.547295000000002,27.157787,4.5315080000000005,15.608479,27.213874,4.452967,14.873722,27.160726,1.770188,13.093217,27.697197999999997,1.217948,12.525057,26.341463,0.374821,12.295382,25.045294000000002,-0.19504100000000002,12.777676,,,
26.612503000000004,4.573533,15.566929,27.147608,4.557564,15.563288,27.191822,4.475232,14.859601000000001,27.146421999999998,1.7982049999999998,13.117479000000001,27.694912,1.221225,12.540188,26.326959999999996,0.38482,12.259530999999999,25.04348,-0.193434,12.780427,,,
26.571732,4.6502419999999995,15.485726000000001,27.101259000000002,4.5680760000000005,15.58505,27.151583000000002,4.513054,14.832427,27.124903000000003,1.797252,13.143916,27.703912,1.25349,12.524322999999999,26.309014,0.425259,12.250721,25.041664,-0.188354,12.780474,,,
26.55795,4.641541,15.531575,27.060824,4.594119999999999,15.584022000000001,27.119969,4.5268120000000005,14.844301000000002,27.114801,1.825233,13.125029000000001,27.656672999999998,1.327441,12.455897,26.323513000000002,0.415254,12.286585,25.038226,-0.182658,12.777406,,,
26.505865999999997,4.645384,15.561537,27.037484999999997,4.6288160000000005,15.587587,27.077909000000002,4.5422080000000005,14.900295999999999,27.082615000000004,1.868585,13.070102,27.632414,1.34505,12.482636999999999,26.293113,0.463679,12.2421,25.037029,-0.179482,12.778926,,,
26.463241999999997,4.66049,15.558770999999998,27.012863,4.677149,15.544378,27.044696999999996,4.580474,14.883319,27.060201,1.8715240000000002,13.097886,27.615559,1.383567,12.494802,26.285015,0.44974,12.263942,25.033841,-0.174969,12.778831,,,
26.435715999999996,4.700737,15.514351000000001,26.976143,4.731477,15.510325,27.007183,4.619013,14.850956,27.036191,1.877866,13.124313,27.623932,1.354464,12.521189999999999,26.270055,0.469209,12.237167,25.029987,-0.17105599999999999,12.780896,,,
26.403496,4.720858,15.532362,26.938215999999997,4.730567,15.546320999999999,26.97839,4.631047,14.856281,27.014052000000003,1.892595,13.126548999999999,27.596631,1.381753,12.493046000000001,26.279861,0.494766,12.214048,25.027777,-0.161299,12.780205,,,
